Name,Source,Date Acq,QOH,Arrived?,Grown?,Planting Size,Color,Shape,Oz  ,Days,Family,Feature,Antho,Notes,Description,Breeder,Species
Dwarf Saucy Mary,Bounty Hunter,01/07/2024,10,Y,N,Dwarf,Green,Paste,,,,,,,,,solanum lycopersicum
Geranium Kiss,Bounty Hunter,01/13/2024,,Y,N,Dwarf,Red,Cherry,,,,Multifloral,,,,,solanum lycopersicum
Dwarf Microberry,Bounty Hunter,01/13/2024,,Y,N,Dwarf,Yellow,Cherry,,,,Multifloral,,,,,solanum lycopersicum
Dark Striped Micro Dwarf,Bounty Hunter,01/13/2024,,Y,N,Dwarf,BiColor,Cherry,,,,Multifloral,,,,,solanum lycopersicum
Sgt. Pepper red antho heart,Bounty Hunter,01/07/2024,25,Y,N,Indeterminate,Red,Heart-Shaped,3-6,,,,Antho,,,,solanum lycopersicum
Rebel Starfighter VT16,Bounty Hunter,01/07/2024,25,Y,N,Indeterminate,Green,Heart-Shaped,8,,,,Antho,,,Russ Crowe,solanum lycopersicum
Pork Chop,Bounty Hunter,01/07/2024,5,Y,N,Indeterminate,Yellow,Beefsteak,,75,,Stripey,,,,Brad Gates,solanum lycopersicum
Golden Cherokee,Bounty Hunter,01/07/2024,10,Y,N,Indeterminate,Orange,Round,,,Cherokee,,,,,,solanum lycopersicum
Cherokee Rose (fuzzy pink),Bounty Hunter,01/07/2024,10,Y,N,Indeterminate,Pink,Round,,,Cherokee,Fuzzy,,,,,solanum lycopersicum
Cherokee Green,Bounty Hunter,01/07/2024,25,Y,N,Indeterminate,Green,Round,,,Cherokee,,,,,,solanum lycopersicum
Cherokee Chocolate,Bounty Hunter,01/07/2024,25,Y,N,Indeterminate,Chocolate,Round,,,Cherokee,,,,,,solanum lycopersicum
Berkeley Tie-Dye Heart,Bounty Hunter,01/07/2024,25,Y,N,Indeterminate,Green,Heart-Shaped,12,,,Stripey,,,,,solanum lycopersicum
Kozula 14 Megagroniasty,Bounty Hunter,01/13/2024,,Y,N,Indeterminate,Red,Pear,1,,,Multifloral,,,,,solanum lycopersicum
Karma Purple Multiflora,Bounty Hunter,01/13/2024,,Y,N,Indeterminate,Red,Cherry,,75,Karma,Multifloral,Antho,,,,solanum lycopersicum
Pinocchio Orange,Heritage,01/07/2024,,Y,N,Micro,Orange,Cherry,,,,,,,,,solanum lycopersicum
Fat Frog (green),Heritage,01/07/2024,,Y,N,Micro,Green,Cherry,,,,,,,,,solanum lycopersicum
Birdie Rouge,Heritage,01/07/2024,,Y,N,Micro,Red,Cherry,,,,,,,,,solanum lycopersicum
San Marzano red,Legacy,,,Y,N,Indeterminate,Red,Paste,,,,,,,,,solanum lycopersicum
Roma VF red,Legacy,,,Y,N,Indeterminate,Red,Paste,,,,,,,,,solanum lycopersicum
Pink Berkeley Tie-Dye,legacy,,,Y,N,Indeterminate,Pink,Round,,,,Stripey,,,,,solanum lycopersicum
Black Krim,Legacy,,,Y,N,Indeterminate,Black,Round,,,,,Antho,,,,solanum lycopersicum
Big Rainbow,Legacy,,,Y,Y,Indeterminate,,Round,,,,Stripey,,,,,solanum lycopersicum
